task    , MCC  , Accuracy, Recall, Precision, F-beta, AUC  , TP     , TN      , FP     , FN     , Train Time (s), Predict Time (s)
task_2_3, 0.303,    0.995,  0.188,     0.495,  0.273, 0.822,  45.0  ,  47421.0,  46.0  , 194.0  ,          9.721,            0.008
task_3_4, 0.422,    0.996,  0.233,     0.77 ,  0.357, 0.778,  57.0  ,  47830.0,  17.0  , 188.0  ,          9.862,            0.011
task_4_5, 0.124,    0.996,  0.034,     0.467,  0.063, 0.604,   7.0  ,  49283.0,   8.0  , 201.0  ,          9.657,            0.008
task_5_6, 0.147,    0.996,  0.041,     0.533,  0.077, 0.879,   8.0  ,  45952.0,   7.0  , 186.0  ,          9.271,            0.012
task_1_3, 0.417,    0.993,  0.304,     0.581,  0.399, 0.922, 182.0  ,  74047.0, 131.0  , 417.0  ,         13.88 ,            0.013
task_2_4, 0.379,    0.996,  0.172,     0.842,  0.285, 0.908,  80.0  ,  95317.0,  15.0  , 386.0  ,         18.083,            0.019
task_3_5, 0.328,    0.996,  0.116,     0.933,  0.207, 0.895,  56.0  ,  97106.0,   4.0  , 426.0  ,         18.334,            0.02
task_4_6, 0.295,    0.996,  0.186,     0.473,  0.267, 0.933,  61.0  ,  95257.0,  68.0  , 267.0  ,         18.279,            0.026
task_1_4, 0.375,    0.996,  0.178,     0.793,  0.291, 0.839,  92.0  , 122328.0,  24.0  , 425.0  ,         23.432,            0.043
task_2_5, 0.325,    0.996,  0.222,     0.482,  0.304, 0.903, 131.0  , 144566.0, 141.0  , 460.0  ,         28.501,            0.025
task_3_6, 0.344,    0.997,  0.119,     1.0  ,  0.212, 0.923,  57.0  , 143265.0,   0.0  , 424.0  ,         24.382,            0.022
task_1_5, 0.328,    0.996,  0.24 ,     0.454,  0.314, 0.917, 167.0  , 171472.0, 201.0  , 529.0  ,         29.2  ,            0.035
task_2_6, 0.294,    0.997,  0.087,     1.0  ,  0.16 , 0.912,  60.0  , 190762.0,   0.0  , 630.0  ,         31.552,            0.029
task_1_6, 0.283,    0.997,  0.121,     0.669,  0.205, 0.933,  95.0  , 217690.0,  47.0  , 691.0  ,         36.528,            0.035
AVERAGE , 0.312,    0.996,  0.16 ,     0.678,  0.244, 0.869,  78.429, 110164.0,  50.643, 387.429,         20.049,            0.022
