task    , MCC  , Accuracy, Recall, Precision, F-beta, AUC  , TP , TN    , FP , FN
task_1_2, 0.453,    0.453,  0.344,     0.605,  0.438, 0.922, 176,  71430, 115,  336
task_2_3, 0.000,    0.000,  0.000,     0.000,  0.000, 0.463,   0,  95135,   0,  418
task_3_4, 0.355,    0.355,  0.127,     1.000,  0.225, 0.656,  55,  96813,   0,  379
task_4_5, 0.063,    0.063,  0.004,     1.000,  0.008, 0.884,   1,  94601,   0,  254
task_5_6, 0.149,    0.149,  0.032,     0.750,  0.061, 0.799,  90,  64044,  30, 2739
task_1_3, 0.000,    0.000,  0.000,     0.000,  0.000, 0.625,   0,  72152,   0,  385
task_2_4, 0.000,    0.000,  0.000,     0.000,  0.000, 0.500,   0,  96332,   0,  434
task_3_5, 0.063,    0.063,  0.004,     1.000,  0.008, 0.922,   1,  93388,   0,  254
task_4_6, 0.107,    0.107,  0.012,     1.000,  0.024, 0.720,  34,  67675,   0, 2797
task_1_4, 0.309,    0.309,  0.118,     0.812,  0.206, 0.866,  56, 120799,  13,  419
task_2_5, 0.385,    0.385,  0.149,     1.000,  0.259, 0.887,  57, 140797,   0,  326
task_3_6, 0.122,    0.122,  0.016,     0.979,  0.031, 0.767,  47, 115496,   1, 2979
task_1_5, 0.347,    0.347,  0.121,     1.000,  0.216, 0.904,  57, 165229,   0,  414
task_2_6, 0.164,    0.164,  0.027,     1.000,  0.054, 0.749,  90, 162786,   0, 3184
task_1_6, 0.164,    0.164,  0.027,     1.000,  0.053, 0.707,  90, 187272,   0, 3219
